0.01,0.99296
0.02,0.99296
0.03,0.99296
0.04,0.99296
0.05,0.99296
0.06,0.99296
0.07,0.99296
0.08,0.99296
0.09,0.99296
0.1,0.99296
0.11,0.99296
0.12,0.99296
0.13,0.99296
0.14,0.99296
0.15,0.99296
0.16,0.99296
0.17,0.99296
0.18,0.99296
0.19,0.99296
0.2,0.99296
0.21,0.99296
0.22,0.99296
0.23,0.99296
0.24,0.99296
0.25,0.99296
0.26,0.99296
0.27,0.99296
0.28,0.99296
0.29,0.99296
0.3,0.99296
0.31,0.99296
0.32,0.99296
0.33,0.99296
0.34,0.99296
0.35,0.99296
0.36,0.99296
0.37,0.99296
0.38,0.99296
0.39,0.99296
0.4,0.99296
0.41,0.99296
0.42,0.99296
0.43,0.99296
0.44,0.99296
0.45,0.99296
0.46,0.99296
0.47,0.99296
0.48,0.99296
0.49,0.99296
0.5,0.99296
0.51,0.99296
0.52,0.99296
0.53,0.99296
0.54,0.99296
0.55,0.99296
0.56,0.99296
0.57,0.99296
0.58,0.99296
0.59,0.99296
0.6,0.99296
0.61,0.99296
0.62,0.99296
0.63,0.99296
0.64,0.99296
0.65,0.99296
0.66,0.99296
0.67,0.99296
0.68,0.99296
0.69,0.99296
0.7,0.99296
0.71,0.99296
0.72,0.99296
0.73,0.99296
0.74,0.99296
0.75,0.99296
0.76,0.99296
0.77,0.99296
0.78,0.99296
0.79,0.99296
0.8,0.99296
0.81,0.99296
0.82,0.99296
0.83,0.99296
0.84,0.99296
0.85,0.99296
0.86,0.99296
0.87,0.99296
0.88,0.99296
0.89,0.99296
0.9,0.99296
0.91,0.99296
0.92,0.99296
0.93,0.99296
0.94,0.99296
0.95,0.99296
0.96,0.99296
0.97,0.99296
0.98,0.99296
0.99,0.99296
1,0.99296
